#,symbol,entry,exit,days,in_px,out_px,net_pct,exit_reason
1,AFCONS,2025-12-19,2025-12-31,12,379.9,386.9,0.86,Lean Score 58 fell below exit 60 (signal faded / re-rated)
2,EDELWEISS,2025-12-23,2026-04-01,99,109.1,106.2,-3.63,Lean Score dropped 16 from peak 90 (trail 15)
3,BANKBARODA,2025-12-26,2026-03-16,80,288.2,279.9,-3.86,Lean Score 59 fell below exit 60 (signal faded / re-rated)
4,CCAVENUE,2025-12-26,2026-03-23,87,16.1,13.3,-18.23,Stop-loss hit (down -17%)
5,HINDALCO,2025-12-26,2025-12-31,5,872.9,886.7,0.58,Lean Score 54 fell below exit 60 (signal faded / re-rated)
6,SAMMAANCAP,2025-12-29,2025-12-31,2,141.8,145.6,1.68,Lean Score 48 fell below exit 60 (signal faded / re-rated)
7,BECTORFOOD,2025-12-30,2026-03-04,64,228.3,193.1,-16.44,Stop-loss hit (down -15%)
8,INTELLECT,2025-12-30,2025-12-31,1,945.3,971.0,1.72,Lean Score 38 fell below exit 60 (signal faded / re-rated)
9,PCJEWELLER,2025-12-30,2026-03-30,90,9.2,7.6,-18.27,Stop-loss hit (down -17%)
10,SHILPAMED,2025-12-30,2026-01-23,24,315.4,267.0,-16.33,Stop-loss hit (down -15%)
11,UTIAMC,2025-12-30,2025-12-31,1,1103.1,1129.5,1.39,Lean Score 56 fell below exit 60 (signal faded / re-rated)
12,AARTIIND,2025-12-31,2026-03-16,75,373.9,425.1,12.71,Lean Score 56 fell below exit 60 (signal faded / re-rated)
13,ABCAPITAL,2025-12-31,2026-03-16,75,357.7,314.6,-13.05,Lean Score 45 fell below exit 60 (signal faded / re-rated)
14,ADANIENT,2025-12-31,2026-01-23,23,2239.7,1864.2,-17.77,Stop-loss hit (down -17%)
15,ADANIPORTS,2025-12-31,2026-03-16,75,1469.8,1373.9,-7.52,Lean Score 60 fell below exit 60 (signal faded / re-rated)
16,APOLLOTYRE,2025-12-31,2026-03-12,71,500.0,417.6,-17.47,Stop-loss hit (down -16%)
17,BAJAJFINSV,2025-12-31,2026-03-16,75,2039.9,1773.9,-14.04,Lean Score 51 fell below exit 60 (signal faded / re-rated)
18,BAJAJHLDNG,2025-12-31,2026-03-13,72,11328.0,9506.0,-17.08,Stop-loss hit (down -16%)
19,BBOX,2025-12-31,2026-03-16,75,550.9,496.7,-10.83,Lean Score 38 fell below exit 60 (signal faded / re-rated)
20,BLS,2025-12-31,2026-01-27,27,321.1,269.5,-17.07,Stop-loss hit (down -16%)
21,CAPLIPOINT,2025-12-31,2026-03-23,82,1838.1,1560.3,-16.11,Stop-loss hit (down -15%)
22,CCL,2025-12-31,2026-03-16,75,944.2,1043.3,9.5,Lean Score 58 fell below exit 60 (signal faded / re-rated)
23,CHOLAHLDNG,2025-12-31,2026-03-09,68,1812.9,1531.6,-16.52,Stop-loss hit (down -16%)
24,CRAFTSMAN,2025-12-31,2026-03-30,89,7689.5,6977.0,-10.27,Lean Score 60 fell below exit 60 (signal faded / re-rated)
25,DALBHARAT,2025-12-31,2026-03-16,75,2130.9,1853.0,-14.04,Lean Score dropped 16 from peak 83 (trail 15)
26,DEEPAKNTR,2025-12-31,2026-03-13,72,1731.7,1448.4,-17.36,Stop-loss hit (down -16%)
27,DEEPINDS,2025-12-31,2026-01-12,12,460.8,388.1,-16.79,Stop-loss hit (down -16%)
28,DIXON,2025-12-31,2026-01-27,27,12102.0,10184.0,-16.85,Stop-loss hit (down -16%)
29,EIDPARRY,2025-12-31,2026-02-01,32,1034.7,877.8,-16.16,Stop-loss hit (down -15%)
30,ENGINERSIN,2025-12-31,2026-01-23,23,201.2,167.2,-17.94,Stop-loss hit (down -17%)
31,EQUITASBNK,2025-12-31,2026-03-16,75,63.0,56.1,-11.94,Lean Score no longer computable
32,FEDFINA,2025-12-31,2026-03-04,63,150.9,126.0,-17.48,Stop-loss hit (down -16%)
33,FINCABLES,2025-12-31,2026-04-30,120,749.7,990.5,31.13,Max holding period 120d reached
34,FUSION,2025-12-31,2026-03-16,75,156.5,156.5,-1.0,Lean Score no longer computable
35,GESHIP,2025-12-31,2026-04-30,120,1129.0,1576.8,38.66,Max holding period 120d reached
36,GMRAIRPORT,2025-12-31,2026-03-16,75,104.4,90.5,-14.29,Lean Score no longer computable
37,GODREJIND,2025-12-31,2026-03-13,72,1002.4,838.0,-17.41,Stop-loss hit (down -16%)
38,GODREJPROP,2025-12-31,2026-01-20,20,2004.4,1694.7,-16.45,Stop-loss hit (down -15%)
39,GRAPHITE,2025-12-31,2026-04-01,91,641.7,643.2,-0.77,Lean Score 41 fell below exit 60 (signal faded / re-rated)
40,HAPPSTMNDS,2025-12-31,2026-02-06,37,460.4,387.1,-16.92,Stop-loss hit (down -16%)
41,HBLENGINE,2025-12-31,2026-01-19,19,926.6,756.3,-19.38,Stop-loss hit (down -18%)
42,IIFL,2025-12-31,2026-02-01,32,610.5,475.8,-23.07,Stop-loss hit (down -22%)
43,IKS,2025-12-31,2026-02-27,58,1657.8,1375.8,-18.01,Stop-loss hit (down -17%)
44,IOB,2025-12-31,2026-03-16,75,36.1,32.2,-11.85,Lean Score 59 fell below exit 60 (signal faded / re-rated)
45,JMFINANCIL,2025-12-31,2026-01-21,21,150.1,127.1,-16.3,Stop-loss hit (down -15%)
46,JUBLPHARMA,2025-12-31,2026-02-16,47,1073.3,894.5,-17.66,Stop-loss hit (down -17%)
47,KIRLOSBROS,2025-12-31,2026-03-16,75,1610.2,1518.4,-6.7,Lean Score 56 fell below exit 60 (signal faded / re-rated)
48,KIRLOSENG,2025-12-31,2026-03-16,75,1218.8,1470.2,19.63,Lean Score 46 fell below exit 60 (signal faded / re-rated)
49,M&M,2025-12-31,2026-03-12,71,3709.2,3031.2,-19.28,Stop-loss hit (down -18%)
50,MEDPLUS,2025-12-31,2026-03-16,75,807.3,825.8,1.29,Lean Score 46 fell below exit 60 (signal faded / re-rated)
51,MOTHERSON,2025-12-31,2026-04-30,120,119.9,121.2,0.06,Max holding period 120d reached
52,MRF,2025-12-31,2026-03-20,79,152855.0,127535.0,-17.56,Stop-loss hit (down -17%)
53,MRPL,2025-12-31,2026-03-16,75,152.0,206.8,35.01,Lean Score dropped 20 from peak 84 (trail 15)
54,NAVA,2025-12-31,2026-03-16,75,567.4,538.1,-6.16,Lean Score 57 fell below exit 60 (signal faded / re-rated)
55,NFL,2025-12-31,2026-02-24,55,91.5,77.4,-16.4,Stop-loss hit (down -15%)
56,NSLNISP,2025-12-31,2026-03-09,68,44.2,37.3,-16.68,Stop-loss hit (down -16%)
57,ONGC,2025-12-31,2026-04-30,120,240.4,299.6,23.62,Max holding period 120d reached
58,OSWALPUMPS,2025-12-31,2026-01-19,19,527.1,433.5,-18.76,Stop-loss hit (down -18%)
59,PREMIERENE,2025-12-31,2026-01-21,21,842.1,711.2,-16.55,Stop-loss hit (down -16%)
60,RBLBANK,2025-12-31,2026-03-16,75,315.8,296.1,-7.25,Lean Score 55 fell below exit 60 (signal faded / re-rated)
61,RENUKA,2025-12-31,2026-03-16,75,26.1,23.5,-11.1,Lean Score no longer computable
62,RTNPOWER,2025-12-31,2026-03-02,61,9.4,8.0,-16.36,Stop-loss hit (down -15%)
63,SAMBHV,2025-12-31,2026-04-30,120,96.1,118.7,22.58,Max holding period 120d reached
64,SANGHVIMOV,2025-12-31,2026-01-21,21,345.6,288.7,-17.45,Stop-loss hit (down -16%)
